 [1] "Extract Method"                                                                                                                                                                                                                                                                                                                                           
 [2] "Change Parameter Type, Change Return Type"                                                                                                                                                                                                                                                                                                                
 [3] "Change Attribute Type, Extract Variable, Remove Attribute Modifier"                                                                                                                                                                                                                                                                                       
 [4] "Extract Method"                                                                                                                                                                                                                                                                                                                                           
 [5] "Extract Variable, Inline Method, Remove Parameter"                                                                                                                                                                                                                                                                                                        
 [6] ""                                                                                                                                                                                                                                                                                                                                                         
 [7] "Add Parameter, Change Attribute Type, Change Parameter Type, Change Return Type, Change Variable Type, Extract Method, Extract Variable, Merge Parameter, Merge Variable, Remove Method Modifier, Remove Parameter"                                                                                                                                       
 [8] ""                                                                                                                                                                                                                                                                                                                                                         
 [9] "Change Attribute Access Modifier, Encapsulate Attribute, Extract And Move Method, Extract Attribute, Extract Variable, Remove Attribute Annotation, Remove Thrown Exception Type"                                                                                                                                                                         
[10] "Extract Method"                                                                                                                                                                                                                                                                                                                                           
[11] "Extract Method"                                                                                                                                                                                                                                                                                                                                           
[12] "Add Method Annotation, Change Attribute Type, Change Parameter Type, Change Return Type, Extract Method, Replace Anonymous With Lambda"                                                                                                                                                                                                                   
[13] "Change Variable Type"                                                                                                                                                                                                                                                                                                                                     
[14] "Extract Method"                                                                                                                                                                                                                                                                                                                                           
[15] "Extract Method"                                                                                                                                                                                                                                                                                                                                           
[16] "Add Attribute Modifier, Extract Variable"                                                                                                                                                                                                                                                                                                                 
[17] "Add Method Annotation, Add Thrown Exception Type, Change Method Access Modifier"                                                                                                                                                                                                                                                                          
[18] "Add Attribute Annotation, Add Method Annotation, Add Parameter, Change Attribute Access Modifier, Change Method Access Modifier, Change Variable Type, Extract Method, Inline Variable, Move And Rename Method, Move Method, Remove Method Modifier, Remove Parameter"                                                                                    
[19] "Add Parameter, Remove Parameter"                                                                                                                                                                                                                                                                                                                          
[20] "Add Parameter, Extract Method, Extract Variable"                                                                                                                                                                                                                                                                                                          
[21] "Extract Variable"                                                                                                                                                                                                                                                                                                                                         
[22] "Add Parameter, Add Thrown Exception Type, Change Attribute Access Modifier, Change Method Access Modifier, Change Variable Type, Extract Method, Extract Variable, Push Down Attribute, Remove Parameter, Remove Thrown Exception Type"                                                                                                                   
[23] "Extract Method"                                                                                                                                                                                                                                                                                                                                           
[24] "Add Method Annotation, Change Method Access Modifier, Change Variable Type, Inline Method"                                                                                                                                                                                                                                                                
[25] "Extract Method"                                                                                                                                                                                                                                                                                                                                           
[26] "Add Parameter, Change Return Type"                                                                                                                                                                                                                                                                                                                        
[27] "Change Variable Type"                                                                                                                                                                                                                                                                                                                                     
[28] "Add Attribute Modifier, Add Parameter, Remove Attribute Modifier, Remove Parameter"                                                                                                                                                                                                                                                                       
[29] "Add Parameter Modifier, Change Method Access Modifier, Change Return Type, Extract Method, Move And Inline Method, Remove Parameter, Remove Parameter Modifier"                                                                                                                                                                                           
