"Commit Id","Refactoring Type","File Path","Start Line","End Line","Code Type","Code Element"

"499844caf33c2743b373b34b7a781ec2d65b0660","Replace Variable With Attribute","pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/color/PDColorSpace.java","47","47","FIELD_DECLARATION","colorConvertOp : ColorConvertOp"
"499844caf33c2743b373b34b7a781ec2d65b0660","Replace Variable With Attribute","pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/color/PDColorSpace.java","331","368","METHOD_DECLARATION","protected toRGBImageAWT(raster WritableRaster, colorSpace ColorSpace) : BufferedImage"
"73c95b9882ab91020952b3823e5f7ac8b0b15b98","Extract Variable","pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java","991","991","VARIABLE_DECLARATION_STATEMENT","bim : BufferedImage"
"73c95b9882ab91020952b3823e5f7ac8b0b15b98","Extract Variable","pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java","1000","1001","VARIABLE_DECLARATION_STATEMENT"," "
"73c95b9882ab91020952b3823e5f7ac8b0b15b98","Extract Variable","pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java","969","1120","METHOD_DECLARATION","public drawImage(pdImage PDImage) : void"
"d6f9328d6eba231d7b5a26ccd19d0555934750fb","Add Method Annotation","pdfbox/src/test/java/org/apache/pdfbox/pdmodel/interactive/form/PDAcroFormFlattenTest.java","269","269","ANNOTATION","@Test"
"d6f9328d6eba231d7b5a26ccd19d0555934750fb","Add Method Annotation","pdfbox/src/test/java/org/apache/pdfbox/pdmodel/interactive/form/PDAcroFormFlattenTest.java","265","276","METHOD_DECLARATION","public testFlattenPDFBox4788() : void"
"d46a8751bbdaad8b516a38080dcfc1be232798df","Remove Method Annotation","pdfbox/src/test/java/org/apache/pdfbox/pdmodel/interactive/form/PDAcroFormFlattenTest.java","80","86","METHOD_DECLARATION","public testFlattenPDFBOX563() : void"
"d46a8751bbdaad8b516a38080dcfc1be232798df","Remove Method Annotation","pdfbox/src/test/java/org/apache/pdfbox/pdmodel/interactive/form/PDAcroFormFlattenTest.java","108","114","METHOD_DECLARATION","public testFlattenPDFBOX2469Filled() : void"
